Stage,Blade,Blade Side,Ball Bearing,Position,Result
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,0,False
0,0,0,0,